52,50,26
52,51,832
52,54,646
52,55,560
57,65,433
52,52,10613
56,10,23
52,53,6469
52,56,96
52,57,19
55,54,1021
55,53,6345
55,52,295
32,32,1
55,51,8
52,65,38
55,57,6680
55,56,29380
51,10,4
55,55,16960
50,49,80
65,10,178
55,65,134
50,51,231
50,50,389
50,53,32
50,52,54
54,10,39
50,55,7
50,54,6
50,57,2
50,56,2
53,51,136
53,52,4765
53,50,11
53,55,2321
53,56,1557
57,10,8
53,53,18586
53,54,511
50,65,3
53,57,288
10,50,13
10,51,11
10,52,22
10,53,36
56,51,4
10,54,47
10,55,116
10,56,84
10,57,39
56,56,18029
56,57,3908
56,52,33
52,10,53
56,53,916
56,54,1422
56,55,14025
53,65,225
51,49,2
10,65,132
55,10,82
51,50,48
51,52,2265
51,51,2127
51,54,93
56,65,50
51,53,168
51,56,4
51,55,17
65,51,154
65,50,13
65,53,71
65,52,170
65,55,1
65,57,445
65,56,121
54,53,4164
54,52,508
54,51,17
54,57,276
54,56,7181
54,55,25503
51,65,4
54,54,8261
49,53,3
49,52,17
49,51,81
49,50,252
65,65,26599
57,52,13
57,57,20740
57,53,253
57,54,20
57,55,1160
57,56,11966
54,65,3
53,10,125
10,49,11
49,49,763
